plate_number,true_decision,true_category,pred_decision,pred_category,description,nli_true_label,nli_true_conf,nli_pred_label,nli_pred_conf,zs_decision,zs_decision_conf,zs_category,zs_category_conf,matched_keywords,reason
g.amraj,Reject,C,Approve,None,"""The plate AMRAJ can be interpreted as Amar Raj, which means immortal kingdom, a significant religious and political concept in Sikhism.""",contradiction,0.878,neutral,0.992,Approve,0.896,A,0.363,,"Description contradiction the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.88) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.99). Zero-shot leans 'Approve' (0.90); top category ~ A (0.36). No category keywords found."
g.shoker,Reject,A,Approve,None,"""The sequence shoker is a phonetic spelling of shocker, a well-known slang term for a sexual hand gesture.""",neutral,0.682,neutral,0.836,Approve,0.584,F,0.802,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to visibility issues such as faded or blurred characters.', 0.68) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.84). Zero-shot leans 'Approve' (0.58); top category ~ F (0.80). No category keywords found."
gbishnoi,Reject,C,Approve,None,Bishnoi is community in India,neutral,0.742,neutral,0.785,Approve,0.956,A,0.334,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.74) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.79). Zero-shot leans 'Approve' (0.96); top category ~ A (0.33). No category keywords found."
gj2.goga,Reject,C,Approve,None,"""The sequence GOGA refers to Goga-ji, a folk deity worshipped in parts of India, which is a religious reference.""",neutral,0.603,neutral,0.946,Approve,0.886,A,0.545,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.60) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.95). Zero-shot leans 'Approve' (0.89); top category ~ A (0.55). No category keywords found."
sprbty22,Reject,A,Approve,None,"""The sequence sprbty can be interpreted as Super Booty, a slang term with sexual connotations.""",neutral,0.772,neutral,0.725,Approve,0.506,F,0.856,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to visibility issues such as faded or blurred characters.', 0.77) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.73). Zero-shot leans 'Approve' (0.51); top category ~ F (0.86). No category keywords found."
uk07aale,Reject,D,Approve,None,"""The plate contains the substring ale, which is a direct reference to an alcoholic beverage.""",neutral,0.726,neutral,0.98,Approve,0.717,A,0.253,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to wrong or non-compliant color.', 0.73) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.98). Zero-shot leans 'Approve' (0.72); top category ~ A (0.25). No category keywords found."
yeaa.mon,Reject,D,Approve,None,"""The phrase Yeah mon is strongly associated with Rastafarian culture and its connection to marijuana, constituting an indirect reference to drugs.""",neutral,0.714,contradiction,0.496,Approve,0.69,F,0.318,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to wrong or non-compliant color.', 0.71) and contradiction the PRED hypothesis ('This plate is compliant and should be approved.', 0.50). Zero-shot leans 'Approve' (0.69); top category ~ F (0.32). No category keywords found."
zorawxr,Reject,G,Approve,None,Zorawar is pointing to communities,neutral,0.791,neutral,0.715,Approve,0.941,A,0.26,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to fake, duplicate, or forged plate.', 0.79) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.72). Zero-shot leans 'Approve' (0.94); top category ~ A (0.26). No category keywords found."
aseman,Reject,A,Approve,None,"""The sequence seman is phonetically identical to semen, a term with a direct sexual meaning.""",neutral,0.526,neutral,0.922,Approve,0.764,F,0.639,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to visibility issues such as faded or blurred characters.', 0.53) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.92). Zero-shot leans 'Approve' (0.76); top category ~ F (0.64). No category keywords found."
ashubaba,Reject,C,Approve,None,"""Baba is a title for a holy man or spiritual leader in many South Asian cultures, making Ashu Baba a reference to a religious figure.""",contradiction,0.515,neutral,0.881,Approve,0.902,A,0.312,,"Description contradiction the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.51) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.88). Zero-shot leans 'Approve' (0.90); top category ~ A (0.31). No category keywords found."
B4H4D1R,Reject,E,Approve,None,"""The plate spells Bahadir, a historical title of honor in Turkic and Mongol cultures, referencing dignitaries or nobility.""",neutral,0.693,neutral,0.996,Approve,0.724,A,0.348,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to misaligned or crooked mounting.', 0.69) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 1.00). Zero-shot leans 'Approve' (0.72); top category ~ A (0.35). No category keywords found."
barakah,Reject,C,Approve,None,"""Barakah is an Arabic word meaning blessing or divine grace and is a significant term in Islam, making it a religious reference.""",neutral,0.623,neutral,0.872,Approve,0.883,A,0.555,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.62) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.87). Zero-shot leans 'Approve' (0.88); top category ~ A (0.55). No category keywords found."
bblmiata,Reject,A,Approve,None,"""The acronym BBL stands for Brazilian Butt Lift, a reference to a cosmetic procedure that is considered sexually suggestive.""",neutral,0.914,contradiction,0.654,Approve,0.589,F,0.725,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to visibility issues such as faded or blurred characters.', 0.91) and contradiction the PRED hypothesis ('This plate is compliant and should be approved.', 0.65). Zero-shot leans 'Approve' (0.59); top category ~ F (0.73). No category keywords found."
buong,Reject,D,Approve,None,"""BUONG is phonetically and visually similar to bong, a term for drug paraphernalia, making it an indirect reference to drug use.""",neutral,0.82,neutral,0.585,Approve,0.646,A,0.285,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to wrong or non-compliant color.', 0.82) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.59). Zero-shot leans 'Approve' (0.65); top category ~ A (0.28). No category keywords found."
